id_venta,id_cliente,id_producto,categoria,ciudad,mes,cantidad,precio_unit,total
68,16,8,Hogar,Madrid,Marzo,9,401.71,3615.39
69,13,9,Electrónica,Bilbao,Enero,1,317.67,317.67
70,18,4,Electrónica,Bilbao,Abril,5,50.06,250.3
71,15,1,Alimentación,Madrid,Abril,4,438.05,1752.2
72,13,14,Hogar,Bilbao,Mayo,3,461.23,1383.69
73,9,1,Hogar,Bilbao,Enero,6,39.93,239.58
74,15,10,Deportes,Bilbao,Marzo,2,145.67,291.34
75,13,4,Hogar,Sevilla,Abril,3,405.04,1215.12
76,1,12,Hogar,Valencia,Enero,5,376.65,1883.25
77,7,14,Hogar,Barcelona,Abril,9,100.42,903.78
78,9,7,Ropa,Sevilla,Junio,2,112.58,225.16
79,1,2,Deportes,Bilbao,Abril,8,191.53,1532.24
80,12,3,Electrónica,Madrid,Marzo,2,247.42,494.84
81,8,1,Alimentación,Bilbao,Febrero,5,312.94,1564.7
82,11,5,Electrónica,Valencia,Mayo,7,190.77,1335.39
83,19,1,Deportes,Bilbao,Mayo,8,236.64,1893.12
84,17,8,Alimentación,Madrid,Marzo,1,376.26,376.26
85,8,1,Deportes,Valencia,Abril,6,27.97,167.82
86,3,11,Hogar,Bilbao,Enero,1,133.69,133.69
87,3,1,Alimentación,Valencia,Abril,2,359.54,719.08
88,1,2,Hogar,Barcelona,Marzo,1,448.65,448.65
89,5,2,Electrónica,Barcelona,Mayo,5,260.72,1303.6
90,10,12,Electrónica,Bilbao,Abril,9,270.74,2436.66
91,7,6,Alimentación,Valencia,Mayo,6,62.51,375.06
92,9,7,Alimentación,Madrid,Enero,1,229.23,229.23
93,7,5,Deportes,Bilbao,Mayo,1,270.98,270.98
94,9,1,Deportes,Barcelona,Mayo,2,128.81,257.62
95,8,1,Hogar,Barcelona,Febrero,9,141.93,1277.37
96,12,3,Alimentación,Bilbao,Febrero,3,194.87,584.61
97,2,14,Electrónica,Valencia,Junio,1,19.83,19.83
98,1,2,Deportes,Barcelona,Febrero,5,167.82,839.1
99,16,5,Deportes,Valencia,Mayo,7,113.61,795.27
100,5,12,Electrónica,Barcelona,Marzo,6,170.47,1022.82
101,3,10,Deportes,Barcelona,Mayo,1,68.68,68.68
102,12,6,Hogar,Sevilla,Marzo,5,446.36,2231.8
103,8,7,Alimentación,Barcelona,Marzo,5,300.86,1504.3
104,3,4,Electrónica,Madrid,Febrero,6,342.76,2056.56
105,1,7,Alimentación,Bilbao,Abril,3,396.69,1190.07
106,3,11,Deportes,Bilbao,Enero,5,254.24,1271.2
107,5,8,Deportes,Valencia,Febrero,7,52.59,368.13
108,15,11,Electrónica,Barcelona,Febrero,5,273.18,1365.9
109,14,1,Hogar,Madrid,Abril,5,297.55,1487.75
110,3,15,Ropa,Valencia,Enero,5,375.27,1876.35
111,1,6,Electrónica,Sevilla,Mayo,3,221.51,664.53
112,5,8,Ropa,Valencia,Junio,1,72.51,72.51
113,14,5,Ropa,Valencia,Junio,5,149.05,745.25
114,7,4,Hogar,Barcelona,Mayo,9,187.91,1691.19
115,9,2,Ropa,Sevilla,Febrero,1,326.5,326.5
116,15,6,Ropa,Valencia,Enero,3,289.68,869.04
117,15,6,Hogar,Madrid,Febrero,4,184.49,737.96
118,10,11,Ropa,Madrid,Marzo,1,493.39,493.39
119,13,15,Ropa,Bilbao,Febrero,1,306.83,306.83
120,19,1,Ropa,Sevilla,Febrero,8,126.24,1009.92
